FechaHora;Temp;Humedad;Gas;Ph;TempAmbiente;HumedadAmbiente
18/5/2025 9:40;25.53;85.50;122.05;6.48;14.84;71.00
18/5/2025 9:50;25.25;86.83;114.92;6.45;14.23;70.00
18/5/2025 10:00;25.00;83.02;136.22;6.44;15.88;71.00
18/5/2025 10:10;25.62;84.23;108.63;6.43;15.63;72.00
18/5/2025 10:20;25.21;81.40;131.38;6.41;15.31;71.00
18/5/2025 10:30;25.87;82.43;132.06;6.38;15.47;70.00
18/5/2025 10:40;25.37;83.69;110.52;6.34;15.65;70.00
18/5/2025 10:50;26.20;85.00;122.18;6.30;16.01;69.00
18/5/2025 11:00;26.16;83.33;123.95;6.26;17.17;68.00
18/5/2025 11:10;25.39;82.40;103.07;6.22;17.40;67.00
18/5/2025 11:20;24.86;82.58;132.37;6.20;17.43;65.00
18/5/2025 11:30;24.68;81.37;109.68;6.18;16.72;65.00
18/5/2025 11:40;24.32;81.12;111.44;6.15;17.01;66.00
18/5/2025 11:50;24.40;79.72;111.99;6.11;17.51;65.00
18/5/2025 12:00;24.94;79.13;116.14;6.09;18.30;64.00
18/5/2025 12:10;25.93;79.60;134.76;6.08;18.02;64.00
18/5/2025 12:20;26.71;78.25;108.23;6.04;18.01;64.00
18/5/2025 12:30;26.57;80.72;123.94;6.00;18.71;64.00
18/5/2025 12:40;26.42;78.75;92.89;5.99;18.24;65.00
18/5/2025 12:50;26.53;80.58;63.30;5.95;18.06;63.00
18/5/2025 13:00;26.52;78.47;97.78;5.93;20.00;64.00
18/5/2025 13:10;26.43;77.81;69.32;5.89;19.09;63.00
18/5/2025 13:20;25.58;76.35;84.58;5.87;19.42;63.00
18/5/2025 13:30;25.64;76.40;78.38;5.85;19.90;64.00
18/5/2025 13:40;25.48;79.03;63.64;5.81;20.25;64.00
18/5/2025 13:50;24.93;76.78;80.18;5.77;19.35;63.00
18/5/2025 14:00;23.97;75.50;63.11;5.74;20.25;63.00
18/5/2025 14:10;24.26;78.23;80.33;5.72;20.73;62.00
18/5/2025 14:20;24.27;77.06;89.12;5.70;20.34;61.00
18/5/2025 14:30;24.97;77.38;90.42;5.68;20.77;60.00
18/5/2025 14:40;25.06;77.54;78.10;5.66;21.34;60.00
18/5/2025 14:50;24.81;75.98;81.41;5.63;21.12;61.00
18/5/2025 15:00;25.45;74.84;63.30;5.60;19.95;62.00
18/5/2025 15:10;26.03;73.64;84.60;5.58;20.40;62.00
18/5/2025 15:20;25.63;76.36;67.83;5.56;20.65;63.00
18/5/2025 15:30;26.56;76.55;81.95;5.53;20.33;62.00
18/5/2025 15:40;25.86;74.90;79.21;5.50;20.04;63.00
18/5/2025 15:50;26.53;74.34;70.75;5.48;19.91;64.00
